"%s already exist","%s már létezik"
"%s already exists","%s már létezik"
"-- Please Select --","-- Válassz --"
"Duplicate Of Template Code","Sablon kódok ismétlődése"
"Edit Design Change","Kinézet szerkesztése"
"Edit Store","Bolt szerkesztése"
"Edit Store View","Bolt nézet szereksztése"
"Edit Website","Weboldal szerkesztése"
"Empty identifier field name","Üres azonosító mező"
"Empty main table name","Üres fő tábla név"
"Enabled","Engedélyezve"
"Enabled for Admin","Engedélyezve az admin számára"
"Enabled for Frontend","Engedélyezve a bolt számára"
"Error in file: ""%s"" - %s","Hiba a fájlban: ""%s"" - %s"
"Error while saving. Please try again later.","Hiba a mentés során. Próbálja meg később."
"Error: Passwords do not match","Hiba: Jelszavak nem egyeznek"
"Exceptions Log File Name","Megszakítások Log fájl neve"
"First Day of Week","Hét első napja"
"Footer","Lábrész"
"Forgot Password Email Sender","Elfelejtett jelszó e-mail feladó"
"Forgot Password Email Template","Elfelejtett jelszó e-mail sablon"
"General","Általános"
"General Settings","Általános beállítások"
"General contact","Általános kapcsolat"
"Global","Globális"
"HTML Head","HTML Head"
"Header","Fejléc"
"Host","Kiszolgáló"
"Id path for specified store","Id path a kiválasztott bolt számára"
"Incorrect credit card expiration date","Hibás hitelkártya lejárati dátum"
"Invalid base url type","Érvénytelen alap url típus"
"Invalid block name to set child %s: %s","Érvénytelen blokk név %s: %s"
"Invalid block type: %s","Érvénytelen blokk típus: %s"
"Invalid block: %s","Érvénytelen blokk: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Érvénytelen elrendezés(layout) frissítés paraméter, Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Érvénytelen elrendezés(layout) kezelő"
"Invalid messages storage ""%s"" for layout messages initialization","Érvénytelen üzenet tároló ""%s"" az elrendezés(layout) üzenetek beállításakor"
"Invalid transactional email code: ","Érvénytelen kereskedelmi e-mail kód: "
"Invalid websites configuration path: %s","Érvénytelen weboldal beállítási útvonal: %s"
"Layout","Elrendezés"
"Layouts","Elrendezések"
"Leave empty for access from any location","Hagyd üresen, hogy bárhonnan elérhető legyen."
"Locale","Helyi"
"Locale options","Helyi beállítások"
"Log Settings","Log beállítások"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Log innen Mage::log(). Fájl helye: {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Log innen Mage::logException(). Fájl helye {{base_dir}}/var/log"
"Logo Image Alt","Logo kép felirat"
"Logo Image Src","Logo kép forrás"
"Manage Stores","Boltok kezelése"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Modell besorolás nem létezik: %s"
"Model collection resource name is not defined","Modell gyűjtemény forrás név nem meghatározott"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Név"
"New Design Change","Új kinézet változás"
"New Store","Új bolt"
"New Store View","Új bolt nézet"
"New Website","Új weboldal"
"No","No"
"Package","Csomag"
"Please choose to register or to checkout as a guest","Kérlek, válaszd a regisztrációt, vagy a vendégként vásárlást"
"Please define flag code.","Add meg az ország kódját."
"Please enter 6 or more characters.","Kérlek, minimum 6 karaktert adj meg."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Kérlek, minimum 6 karaktert adjon meg."
"Please enter a number greater than 0 in this field.","Kérlek, 0-nál nagyobb számot adj meg."
"Please enter a valid $ amount. For example $100.00.","Valós összeget adj meg. Például 100.00 Ft."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Valós URL-t adj meg. Például  http://www.example.com vagy www.example.com"
"Please enter a valid URL. http:// is required","Adj meg valós URL-t. http:// szükséges"
"Please enter a valid credit card number.","Valós kredit kártya számot adj meg."
"Please enter a valid date.","Valós dátumot adj meg."
"Please enter a valid full date.","Add meg a születési dátumod!"
"Please enter a valid email address. For example johndoe@domain.com.","Adj meg valós email-címet."
"Please enter a valid number in this field.","Valós számot adj meg ebben a mezőben."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Valós telefonszámot adj meg. Például: (1) 456-7890 vagy 23-456-789."
"Please enter a valid social security number. For example 123-45-6789.","Valós tb számot adj meg: 123-45-6789."
"Please enter a valid zip code.","Valós irányítószámot adj meg."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Valós irányítószámot adj meg."
"Please enter valid password.","Valós jelszót adj meg."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Ellenőrízd, hogy az Alap Url így végződjön '/' (jobbra-perjel), pl. http://yourdomain/magento/"
"Please make sure your passwords match.","Ellenőrizze hogy egyezik e a megadott jelszó."
"Please select State/Province.","Válassz megyét."
"Please select an option.","Válassz az alábbi lehetőségekből."
"Please select one of the above options.","Válassz a fenti lehetőségekből."
"Please select one of the options.","Válassz az alábbi lehetőségekből."
"Please specify payment method.","Válassz fizetési módot."
"Please specify shipping method.","Válassz szállítási módot."
"Please use letters only (a-z or A-Z) in this field.","Használj kizárólag betűket (a-z vagy A-Z) ebben a mezőben."
"Please use letters only (a-z) in this field.","Használj kizárólag betűket (a-z) ebben a mezőben."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Kérlek, ebben a mezőben csak számokat használjon, kerülje a szünetet, pontot illetve speciális karaktereket."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Kérlek, csak betűket (a-z) vagy számokat (0-9) használj ebben a mezőben. Szünet és speciális karakterek nincsenek engedélyezve."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Kérjük csak betűket (a-z) vagy számokat (0-9). # és szünet is engedélyezve van ebben a mezőben."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Használj betűket (a-z), számokat (0-9) és alulvonást(_) ebben a mezőben, az első karakternek betűnek kell lennie."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Kérlek, ezt a dátum formátumot használd: nn/hh/éééé. Például: 17/03/2006 "
"Please wait, loading...","Kérlek, várj, míg betölt..."
"Polls","Szavazások"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Kérési útvonal a megadott bolthoz"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Erőforrás nincs beállítva"
"Root Category","Gyökér kategória"
"SMTP settings (Windows server only)","SMTP beállítások (Csak Windows szerver)"
"Sales representative","Üzletkötő"
"Save","Mentés"
"Save Store","Bolt mentése"
"Save Store View","Bolt nézet mentése"
"Save Website","Weboldal mentése"
"Search Engines Optimization","Kereső optimalizálás"
"Secure","Biztonságos"
"Security","Security"
"Select Date","Dátum Megadás"
"Sender email","Küldő e-mail"
"Sender name","Küldő neve"
"Services","Szolgáltatások"
"Session Cookie management","Munkamenet süti kezelés"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","Legyen alapértelmezett"
"Skin (Images / CSS)","Felület (Képek / CSS)"
"Sort order","Sorrend"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Megadott dátum/idő ""%1$s"" nem egyezik ezzel ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Kezdő dátumnak korábbinak kell lennie"
"Startup page","Kezdőoldal"
"Status","Állapot"
"Store","Bolt"
"Store Email Addresses","Bolt e-mail címek"
"Store Information","Bolt információk"
"Store Name","Bolt neve"
"Store View","Bolt nézet"
"Store View Information","Bolt nézet információk"
"Store View Name","Bolt nézet neve"
"Store View was successfully saved","Bolt nézet sikeresen mentve"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Bolt kódja csak angol abc (a-z), számok (0-9) és alulvonás(_), az első karakter betű legyen"
"Store doesn't exist","Bolt nem létezik"
"Store view doesn't exist","Bolt nézet nem létezik"
"Store view was successfully deleted.","Bolt nézet sikeresen törölve."
"Store was successfully deleted.","Bolt sikeresen törölve."
"Store was successfully saved","Bolt sikeresen mentve"
"Store with the same code","Bolt ugyan ezzel a kóddal"
"System","Rendszer"
"System Log File Name","System Log File Name"
"Template Path Hints","Sablon útvonal tippek"
"Templates","Sablonok"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","%s amit megadtál nem valós. Kérlek, kövesd ezt a formátumot: ""http://domain.com/"" "
"Themes","Témák"
"This category and all its child elements","Ez a kategória és az összes gyermek eleme."
"This category and its child categories only","Ez a kategória és a gyermek kategóriái csupán."
"This category and its products only","Ez a kategória és a termékei csupán"
"This category only","Csak ez a kategória"
"This is a required field.","Ez egy kötelező mező."
"This store cannot be deleted","Ezt a boltot nem törölheti"
"This store cannot be deleted.","Ezt a boltot nem törölheti."
"This store view cannot be deleted","Ez a bolt nézet nem törölhető"
"This store view cannot be deleted.","Ez a bolt nézet nem törölhető."
"This website cannot be deleted","Ez a weboldal nem törölhető"
"This website cannot be deleted.","Ez a weboldal nem törölhető."
"This will be displayed just before body closing tag","Ez a body lezáró tag elé fog kerülni."
"This will be included before head closing tag in page HTML","Ez a head lezáró tag elé fog kerülni a html oldalban."
"Timezone","Időzóna"
"Title Prefix","Title előtag"
"Title Suffix","Title utótag"
"Translate Inline","Belső fordító"
"Translate cache should be disabled for both Frontend and Admin inline translations","Fordítás cache-t ki kell kapcsolni az belső fordító működéséhez"
"Translations","Fordítások"
"Unable to delete store view. Please, try again later.","Bolt nézetet nem sikerült törölni. Kérlek, próbáld meg később."
"Unable to delete store. Please, try again later.","Boltot nem sikerült törölni. Próbáld meg később."
"Unable to delete website. Please, try again later.","Weboldalt nem sikerült törölni. Próbáld meg később."
"Unable to proceed. Please, try again","Sikertelen végrehajtás, Próbáld újra"
"Unknown scope ""%s""","Ismeretlen hatókör ""%s"""
"Unsecure","Nem biztonságos"
"Url Options","Url beállítások"
"Use HTTP Only","Csak HTTP használata"
"Use Secure URLs in Admin","Biztonságos URL-ek az adminban"
"Use Secure URLs in Frontend","Biztonságos URL-ek a Boltban"
"Use Web Server Rewrites","Web Server Rewrites használata (keresőbarát url-ek)"
"Use custom admin URL","Egyedi admin URL használata"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Web"
"Website","Weboldal"
"Website Information","Weboldal információk"
"Website Name","Weboldal neve"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Weboldal kódja csak angol abc (a-z), számokat (0-9) alulvonást(_) tartalmazhat, első karakter betű legyen"
"Website doesn't exist","Weboldal nem létezik"
"Website was successfully deleted.","Weboldal sikeresen törölve."
"Website was successfully saved","Weboldal sikeresen mentve"
"Website with the same code","Weboldal ugyan ezzel a kóddal"
"Weekend Days","Hétvége napjai"
"Welcome Text","Üdvözlő szöveg"
"Wrong number of arguments for %s","Hibás számú paraméter itt: %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","A rendelésedet nem tudjuk végrehajtani, mivel jelenleg nincs elérhető fizetési mód hozzá."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Folyamat ideje lejárt, újra kezdjük."
"Search","Keres"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"This date is a required value.","Kérlek, add meg a születésnapodat!"
"Top Rated","Legjobbra értékeltek"
"Bestseller","Legnépszerűbbek"
"new","Újdonság"
