"e.g. domain.com/blog/identifier","ugy mint  domain.com/blog/azonosito"
"Relative to current skin directory, e.g. images/rsslogo.jpg","Relative to current skin directory, e.g. images/rsslogo.jpg"
"Return to","Vissza a"
"Route to Blog","Blog útvonala"
"RSS Feed Image","RSS Feed kép"
"RSS Feed","RSS Feed"
"RSS Posts to Show","RSS bejegyzések mutatása"
"Save And Continue Edit","Mentés és szerkesztés folytatása"
"Save Category","Kategória mentése"
"Save Comment","Komment mentése"
"Save Post","Bejegyzése mentése"
"Send Emails to","E-mail küldése"
"Short Content","Rövid tartalom"
"Short","Rövid"
"Show Bookmarks in Lists","Könyvjelzők mutatása a listában"
"Show Bookmarks in Posts","Könyvjelzők mutatása a bejegyzésekben"
"Show Breadcrumbs","Morzsszemek mutatása"
"SKU","Cikkszám"
"Sort Order","Rendezés"
"Status","Státusz"
"Store View","Bolt nézet"
"Submit Comment","Komment beküldése"
"Summary Character Count","Summary Character Count"
"Tagged with "%s"","Címkézve ezzel "%s""
"Tags to Display","Címkék mutatása"
"tags","címkék"
"Tags","Címkék"
"Tags: ","Címkék: "
"The number of recent post to be displayed in the menu. 0 to disable.","The number of recent post to be displayed in the menu. 0 to disable."
"The number of tags to display in tag cloud. 0 disables tag cloud","The number of tags to display in tag cloud. 0 disables tag cloud"
"The number of posts displayed per page. Set 0 to disable pagination.","The number of posts displayed per page. Set 0 to disable pagination."
"The requested page could not be found","The requested page could not be found"
"Title","Cím"
"Total of %d comment(s) were successfully approved","Total of %d comment(s) were successfully approved"
"Total of %d comment(s) were successfully unapproved","Total of %d comment(s) were successfully unapproved"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find category to save","Unable to find category to save"
"Unable to find comment to save","Unable to find comment to save"
"Unable to find post to save","Unable to find post to save"
"Unapprove","Elutasít"
"Unapproved","Elutasítva"
"Updated at","Frissítve ekkor"
"Use Categories ID in Posts URLs","Mutasd a kategória azonosítót a bejegyzések URL címeiben"
"Use Short Content Field","Használd a rövid tartalom mezőt"
"Use comma as separator","Használd a vesszőt elválasztáshoz"
"User","Felhasználó"
"Valid values range from 0.0 to 1.0","Érvényes értékek 0.0 és 1.0 között"
"View","Nézet"
"Written by: ","Írta: "
"XML","XML"
"Yes, all pages","Igen  minden oldalt"
"Yes, only blog page","Igen, csak a blog oldalt"
"You must be logged in to comment.","Be kell jelentkezned a kommentáláshoz"
"You must be logged in to post a comment.","Be kell jelentkezned a hozzászóláshoz."
"Your comment has been submitted and is awaiting approval.","A hozzászólásod elküldése sikeres, adminisztrátori jóváhagyásra vár."
"Your comment has been submitted.","Hozzászólása sikeresen elküldve"
"Your Recaptcha solution was incorrect, please try again","Your Recaptcha solution was incorrect, please try again"
"Added by","Cikk írója"
