"* Required Fields","* Kötelező mezők"
"Skip import row, website ""%s"" field not exists","Import sor átugorva, weboldal ""%s"" mező nem létezik"
"State/Province","Megye"
"Status","Állapot"
"Store","Bolt"
"Store View","Bolt nézet"
"Street Address","Utca/Házszám"
"Street Address ","Utca/Házszám "
"Subject","Tárgy"
"Submit","Mehet"
"Subscribe","Feliratkozás"
"Subscribe to newsletter","Feliratkozás hírlevélre"
"Subscribed to Newsletter?","Feliratkozott hírlevélre?"
"Suffix","Utótag"
"Suffix dropdown options","Utótag legördülő lehetőségek"
"TAX/VAT number is required.","Adószám megadása kötelező."
"Tag Name","Címke neve"
"Tax Class","Adó osztály"
"Tax class","Adó osztály"
"Tax/VAT number","Adószám"
"Telephone","Telefonszám"
"Text","Szöveg"
"Text One Line","Egy soros szöveg"
"Thank you for registering with %s","Köszönjük, hogy regisztráltál a %s -nál!"
"Thank you for registering with %s.","Köszönjük, hogy regisztráltál a %s -nál!"
"The address does not belong to this customer","A cím nem tartozik ehhez a vásárlóhoz"
"The address was successfully deleted","A cím sikeresen törölve"
"The address was successfully saved","A cím sikeresen elmentve"
"The first name cannot be empty.","A keresztnév nem lehet üres."
"The last name cannot be empty.","A vezetéknév nem lehet üres."
"The subscription has been removed.","Leiratkozott a hírlevélről."
"The subscription has been saved.","Feliratkozott a hírlevélre."
"The suffix that goes after name (Jr., Sr., etc.)","Az utónév ami a név után következik (Jr., Sr., stb.)"
"The title that goes before name (Mr., Mrs., etc.)","A cím ami a név elé kerül (Mr., Mrs., stb.)"
"There are no items in customer's wishlist at the moment","A vevő kívánságlistája jelenleg üres."
"There are no items in customer's shopping cart at the moment","Nincsenek termékek a vevő kosarában jelenleg."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Ezzel az email-címmel már regisztráltak. Ha biztos vagy benne, hogy ez a te email-címed, <a href=""%s"">kattints ide</a> jelszavad visszaszerzéséhez, hogy beléphess a fiókodba."
"There was an error while deleting the address","Hiba történt a vevő címének törlésekor"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Ez az e-mail lesz kiküldve alapértelmezett üdvözlő üzenetként, miután a fiók megerősítésre került."
"This account is not confirmed.","Ez a fiók nincs megerősítve."
"This customer has no saved addresses.","Ennek a vevőnek nincs elmentett címe."
"This e-mail does not require confirmation.","Ezt a címet már nem szükséges megerősíteni."
"This email address was not found in our records","Ez az e-mail cím nem található az adatbázisunkban"
"This is My Primary %s Address","Ez az én elsődleges %s címem"
"To Cart","Kosárhoz"
"Total","Teljes"
"Type","Típus"
"Unknown","Ismeretlen"
"Unsubscribe from newsletter","Leiratkozás a hírlevélről"
"Update","Frissít"
"Update customer address data","Vevő címének frissítése"
"Update customer data","Vevő adatainak frissítése"
"Use as My Primary %s Address","Használd mint elsődleges %s cím"
"Use as my default billing address","Használd alapértelmezett számlázási címként"
"Use as my default shipping address","Használd alapértelmezett szállítási címként"
"User description","Felhasználó leírása"
"View","Nézet"
"View Order","Rendelés megtekintése"
"View Order List","Rendelések megtekintése"
"Visible In","Láthatóság"
"Visitor","Látogató"
"Visitors Only","Csak látogatók"
"Website","Weboldal"
"Welcome Email","Üdvözlő e-mail"
"Wishlist","Kívánságlist"
"Wishlist - %d item(s)","Kívánságlista - %d termék"
"Wrong confirmation key.","Hibás megerősítő kulcs."
"Wrong customer account specified.","Hibás vevői fiók."
"Wrong email.","Hibás e-mail."
"Wrong region id by selected country","Hibás megye/régió id a kiválasztott országhoz"
"Wrong transactional account email type.","Hibás tranzakciós fiók e-mail típus."
"XML","XML"
"YYYY","ÉÉÉÉ"
"Year","ÉV"
"You are currently not subscribed to any newsletter.","Jelenleg nem vagy feliratkozva egyetlen hírlevelünkre sem."
"You are currently not subscribed to our newsletter","Jelenleg nem vagy feliratkozva hírlevelünkre."
"You are currently subscribed to 'General Subscription'.","Feliratkozva ide: 'Hírlevél'."
"You are currently subscribed to our newsletter","Jelenleg fel vagy iratkozva hírlevelünkre"
"You are currently subscribed to our newsletter.","Jelenleg fel vagy iratkozva hírlevelünkre"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Sikeresen kijelentkeztél. 5 másodpercen belül átirányítunk a kezdőlapra."
"You have no additional address entries in your address book.","Nincs több címed a címjegyzékben."
"You have no additional entries in your address book.","Nincs több címed a címjegyzékben."
"You have no default billing address in your address book.", "Nincs alapértelmezett számlázási címed a címjegyzékben."
"You have no default shipping address in your address book.","Nincs alapértelmezett szállítási címed a címjegyzékben."
"You have no primary entries in your address book.","Nincs elsődleges bejegyzésed a címjegyzékben."
"You have not set a primary billing address.","Nem adtál meg elsődleges számlázási címet."
"You have not set a primary shipping address.","Nem adtál meg elsődleges szállítási címet."
"You have placed no orders yet.","Még nem rendeltél tőlünk."
"You have placed no products yet.","Még nem helyeztél el termékeket."
"You're now Logged Out","Sikeresen kijelentkeztél"
"Your account balance is: %s","Jelenlegi egyenleged: %s"
"ZIP","Isz."
"ZIP/Post Code","Irányítószám"
"ZIP/Postal Code","Irányítószám"
"Zip/Postal Code","Irányítószám"
"n/a","n/a"
"or","vagy"
"Please enter your email below and we'll send you a new password.","Kérlek, add meg az email-címed, hogy elküldhessük új jelszavadat!"
"First name can't be empty","A keresztnév nem lehet üres"
"Last name can't be empty","A vezetéknév nem lehet üres"
"Password can't be empty","A jelszó nem lehet üres"
"My Account","Adataim"
"Log In","Belépés"
"New Customers","Új vásárlók"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","A regisztrációval gyorsabbá válik a vásárlási folyamat, lehetőség van több szállítási cím tárolására, valamint megtekinteni és nyomon követni a rendeléseket."
"Registered Customers","Regisztrált felhasználók"
"If you have an account with us, please log in.","Ha már regisztráltál, itt tudsz belépni. Új webáruházunkba felhasználónév helyett a regisztrált email címeddel tudsz bejelentkezni. Amennyiben a korábbi jelszavadat nem fogadja el a rendszer, jobb alul az &quot;Elfelejtetted a jelszavad?&quot; linkre kattintva tudsz új jelszót igényelni! Bármi hibát érzékelsz új webáruházunkban, kérlek jelezd az info@webshop.hu email címre segítve ezzel munkánkat! Köszönjük!"
"Email Address","Email-cím"
"Password","Jelszó"
"* Required Fields","* Kötelező mezők"
"Forgot Your Password?","Elfelejtetted a jelszavad?"
"Retrieve your password here","Elfelejtett jelszó visszaszerzése"
"Please enter your email below and we'll send you a new password.","Kérlek, add meg az email-címét, hogy kiküldhessük rá az új jelszót."
"Back to Login","Vissza a belépéshez"
"Submit","Elküldés"
"My Dashboard","Személyes adataim"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","A személyes adataid közt láthatóak a legutóbbi tevékenységeid. Adatmódosításhoz válassz a lenti lehetőségek közül."
"Contact Information","Elérhetőségem"
"Address Book","Címeim"
"Account Information","Fiók információk"
"Thank you for registering with %s","Köszönjük, hogy regisztráltál %s felhasználónévvel"
"Newsletter Subscription","Feliratkozás hírlevélre"
"You have not set a default billing address.","Nem állítottál be alapértelmezett számlázási címet."
"You have not set a default shipping address.","Nem állítottál be alapértelmezett szállítási címet."
"Login or Create an Account","Bejelentkezés vagy regisztráció"
"Personal Information","Személyes adatok"
"Sign Up for Newsletter","Feliratkozás hírlevélre"
"You are currently not subscribed to any newsletter.","Jelenleg nem vagy feliratkozva hírlevélre."
"Default Shipping Address","Alapértelmezett szállítási cím"
"Login","Belépés"
"Invalid login or password.","Helytelen belépési adatok"
"Edit Account Information","Fiókadatok szerkesztése"
"Log Out","Kilépés"
"First Name","Keresztnév"
"Last Name","Vezetéknév"
"Email Address/Username","E-mail cím / felhasználónév"
"Forgot Your Password?","Elfelejtetted a jelszavad?"
"Registered Customers","Regisztrált vásárló"
"New Customers","Új vásárló"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","A regisztrációval gyorsabbá válik a vásárlási folyamat, lehetőség van több szállítási cím tárolására, valamint megtekinteni és nyomon követni a rendeléseket."
"Account details","Fiók részletei"
"Email address","E-mail cím"
"Billing informations","Számlázási információk"
"ZIP/Post code","Irányítószám"
"Shipping informations","Szállítási információk"
"You are now logged out","Kiléptél"
"You have logged out and will be redirected to our homepage in 5 seconds.","Öt másodpercen belül visszairányítunk a főoldalra"
"The account information has been saved.","Fiókadatok elmentve."
"Reset a Password","Jelszó visszaállítása"
"Telephone number only contains numbers and -/|. (exp.:06-30-123-45-67)","A telefonszám csak számokat tartalmazhat és ezeket a speciális karaktereket -/|. (pl.:06-30-123-45-67)"
"Too short telephone number.","Túl rövid a telefonszám."
"Please enter the city.","Kérlek, add meg a várost."
"Please enter the telephone number.","Kérlek, add meg a telefonszámot."
"Please enter the first name.","Kérlek, add meg a keresztneved."
"Please enter the last name.","Kérlek, add meg a vezetékneved."
"The address has been saved.","A cím elmentve."
"Vipcard","Törzsvásárlói kártyám"
"Vipcard Comment","(Módosításhoz kérlek vedd fel a kapcsolatot velünk az info@webshop.hu címen.)"
"No card","NINCS"
